panel_id,week,tg,ii,age,income,education,gender,t_kakao_talk,t_anipang,t_kakao_story,t_kakao_game,t_non_kakao_game,t_non_kakao_story,t_non_kakao_talk,t_non_kakao
10005,1,0,0,2,1,3,Male,3049,0,0,0,10102,0,2038,37004
10005,2,0,0,2,1,3,Male,1144,0,0,0,2971,0,985,18715
10039,1,0,0,5,4,2,Female,10265,0,144,0,0,0,1624,18339
10039,2,0,0,5,4,2,Female,5752,0,0,0,0,0,1571,8152
10152,1,0,0,1,3,1,Male,1713,0,167,0,0,20258,1201,62496
10152,2,0,0,1,3,1,Male,4714,0,484,0,0,14411,3759,70896
10204,1,0,0,3,4,4,Male,3574,0,3958,0,0,4929,1780,28948
10204,2,0,0,3,4,4,Male,2550,0,3809,0,0,1935,2423,49001
10233,1,0,0,3,3,4,Female,9627,0,7562,0,0,0,1179,37493
10233,2,0,0,3,3,4,Female,4993,0,1935,205,556,0,976,30545
10270,1,0,0,5,4,4,Male,1079,0,0,0,0,0,599,5697
10270,2,0,0,5,4,4,Male,117,0,0,0,0,0,22344,23987
10277,1,0,0,4,2,4,Female,2036,0,0,0,60,0,974,2915
10277,2,0,0,4,2,4,Female,3450,0,0,0,0,0,1064,7327
1029,1,0,0,5,4,4,Male,4859,0,0,0,0,0,2955,6029
1029,2,0,0,5,4,4,Male,3259,0,382,0,0,0,1574,4680
10370,1,0,0,3,3,4,Male,3657,0,0,0,43745,690,1462,66657
10370,2,0,0,3,3,4,Male,9037,0,280,0,30183,1392,1711,56573
10410,1,0,0,5,3,4,Male,274,0,9,0,2899,0,2754,13997
10410,2,0,0,5,3,4,Male,1682,0,1639,0,4467,0,2490,26405
10418,1,0,0,3,3,4,Male,0,0,0,0,454,0,1157,4078
10418,2,0,0,3,3,4,Male,0,0,0,0,169,3,999,5578
1043,1,0,0,4,3,4,Male,510,0,0,0,0,0,839,14114
1043,2,0,0,4,3,4,Male,350,0,0,0,0,0,1720,5571
10463,1,1,0,2,1,2,Female,119366,0,4976,0,1566,497,6957,47819
10463,2,1,1,2,1,2,Female,95875,3367,9794,1588,11,5721,4507,74397
10465,1,0,0,4,3,4,Female,5786,0,0,0,0,27,6647,30067
10465,2,0,0,4,3,4,Female,1824,0,838,0,0,0,8486,15112
10496,1,1,0,3,3,4,Female,4944,0,175,0,18027,0,6985,104512
10496,2,1,1,3,3,4,Female,3187,138,977,0,15024,0,3180,91932
1052,1,0,0,3,3,4,Female,596,0,140,0,10,0,20398,134877
1052,2,0,0,3,3,4,Female,944,0,482,0,0,0,21120,83650
10538,1,0,0,3,2,4,Male,4888,0,413,0,0,2380,2635,11294
10538,2,0,0,3,2,4,Male,2325,0,2131,0,583,883,6054,27418
1054,1,0,0,3,3,4,Male,0,0,0,0,0,3,4984,28911
1054,2,0,0,3,3,4,Male,0,0,0,0,2284,0,1526,42889
10551,1,0,0,3,3,4,Male,4888,0,413,0,0,2380,2635,11294
10551,2,0,0,3,3,4,Male,2325,0,2131,0,583,883,6054,27418
10589,1,0,0,3,4,4,Female,3554,0,2383,0,1625,0,1337,13719
10589,2,0,0,3,4,4,Female,630,0,1332,0,1272,0,2230,22252
10685,1,0,0,2,2,3,Male,16959,0,0,0,31354,1332,1215,83567
10685,2,0,0,2,2,3,Male,15175,0,4,0,52854,1267,399,114228
10787,1,1,0,2,3,3,Female,19059,0,1237,0,0,12999,164,37316
10787,2,1,1,2,3,3,Female,43271,2125,125,0,0,24688,627,68450
10813,1,0,0,5,3,2,Female,1999,0,154,0,0,0,1569,13927
